timestamp;Particle size (mm);Particle speed (mm/h)
2023-02-23T16:56:00.765872;00.642;02.010
2023-02-23T16:56:00.765872;00.603;01.787
2023-02-23T16:56:00.765872;00.580;01.734
2023-02-23T16:56:00.765872;00.654;01.356
2023-02-23T16:56:00.765872;00.589;01.399
2023-02-23T16:56:00.765872;00.641;01.535
2023-02-23T16:56:00.765872;00.963;03.455
2023-02-23T16:56:00.765872;00.600;02.302
2023-02-23T16:56:00.765872;00.654;02.036
2023-02-23T16:56:00.765872;00.830;02.686
2023-02-23T16:56:00.765872;00.835;03.198
2023-02-23T16:56:00.765872;00.633;02.411
2023-02-23T16:56:00.765872;01.069;04.133
2023-02-23T16:56:00.765872;00.723;03.106
2023-02-23T16:56:00.765872;00.601;02.089
2023-02-23T16:56:00.765872;00.594;02.504
2023-02-23T16:56:00.765872;00.582;01.794
2023-02-23T16:56:00.765872;00.465;01.893
2023-02-23T16:56:00.765872;00.808;03.422
2023-02-23T16:56:00.765872;00.386;02.338
2023-02-23T16:56:00.765872;00.613;02.620
2023-02-23T16:56:00.765872;00.458;01.508
2023-02-23T16:56:00.765872;00.525;01.990
2023-02-23T16:56:00.765872;00.597;02.176
2023-02-23T16:56:00.765872;00.778;03.234
2023-02-23T16:56:00.765872;00.678;02.602
2023-02-23T16:56:00.765872;00.582;02.581
2023-02-23T16:56:00.765872;00.425;00.631
2023-02-23T16:56:00.765872;01.114;03.485
2023-02-23T16:56:00.765872;00.674;02.516
2023-02-23T16:56:00.765872;00.584;05.797
2023-02-23T16:56:00.765872;00.548;02.628
2023-02-23T16:56:00.765872;00.659;02.160
2023-02-23T16:56:00.765872;00.778;03.102
2023-02-23T16:56:00.765872;00.626;02.030
2023-02-23T16:56:00.765872;01.212;03.715
2023-02-23T16:56:00.765872;01.263;03.802
2023-02-23T16:56:00.765872;00.506;01.759
2023-02-23T16:56:00.765872;00.479;01.782
2023-02-23T16:56:00.765872;00.517;01.533
2023-02-23T16:56:00.765872;00.572;01.479
2023-02-23T16:56:00.765872;00.536;01.871
2023-02-23T16:56:00.765872;00.727;02.955
2023-02-23T16:56:00.765872;00.675;02.308
2023-02-23T16:56:00.765872;00.615;02.334
2023-02-23T16:56:00.765872;00.748;02.551
2023-02-23T16:56:00.765872;00.437;01.045
2023-02-23T16:56:00.765872;01.020;03.973
2023-02-23T16:56:00.765872;00.711;02.123
2023-02-23T16:56:00.765872;01.126;03.585
2023-02-23T16:56:00.765872;00.964;02.771
2023-02-23T16:56:00.765872;00.637;02.294
2023-02-23T16:56:00.765872;00.549;01.897
2023-02-23T16:56:00.765872;01.048;03.684
2023-02-23T16:56:00.765872;00.646;02.277
2023-02-23T16:56:00.765872;00.454;01.685
2023-02-23T16:56:00.765872;00.599;04.531
2023-02-23T16:56:00.765872;00.528;01.597
2023-02-23T16:56:00.765872;00.458;01.300
2023-02-23T16:56:00.765872;00.744;03.021
2023-02-23T16:56:00.765872;00.641;01.903
2023-02-23T16:56:00.765872;00.512;02.339
2023-02-23T16:56:00.765872;00.843;03.353
2023-02-23T16:56:00.765872;00.649;02.273
2023-02-23T16:56:00.765872;00.603;02.624
2023-02-23T16:56:00.765872;00.590;02.617
2023-02-23T16:56:00.765872;00.690;02.728
2023-02-23T16:56:00.765872;00.730;02.688
2023-02-23T16:56:00.765872;00.550;02.176
2023-02-23T16:56:00.765872;00.552;01.843
2023-02-23T16:56:00.765872;00.560;02.466
2023-02-23T16:56:00.765872;00.924;03.788
2023-02-23T16:56:00.765872;00.583;02.472
2023-02-23T16:56:00.765872;00.702;02.838
2023-02-23T16:56:00.765872;01.111;04.245
2023-02-23T16:56:00.765872;06.229;00.084
2023-02-23T16:56:00.765872;00.575;02.734
2023-02-23T16:56:00.765872;00.462;01.748
2023-02-23T16:56:00.765872;01.056;03.416
2023-02-23T16:56:00.765872;00.877;03.638
2023-02-23T16:56:00.765872;00.678;02.399
2023-02-23T16:56:00.765872;00.663;02.167
2023-02-23T16:56:00.765872;00.341;02.108
2023-02-23T16:56:00.765872;00.495;01.926
2023-02-23T16:56:00.765872;00.483;00.990
2023-02-23T16:56:00.765872;00.647;02.187
2023-02-23T16:56:00.765872;00.696;01.700
2023-02-23T16:56:00.765872;00.677;01.474
2023-02-23T16:56:00.765872;00.982;03.048
2023-02-23T16:56:00.765872;00.506;01.375
2023-02-23T16:56:00.765872;00.509;00.885
2023-02-23T16:56:00.765872;00.970;02.388
2023-02-23T16:56:00.765872;00.844;01.843
2023-02-23T16:56:00.765872;00.640;02.784
2023-02-23T16:56:00.765872;00.721;01.528
2023-02-23T16:56:00.765872;00.909;02.172
2023-02-23T16:56:00.765872;01.158;03.255
2023-02-23T16:56:00.765872;01.071;03.014
2023-02-23T16:56:00.765872;00.678;01.452
2023-02-23T16:56:00.765872;00.528;00.407
2023-02-23T16:56:00.765872;00.973;02.375
2023-02-23T16:56:00.765872;00.573;01.831
2023-02-23T16:56:00.765872;00.807;02.292
2023-02-23T16:56:00.765872;01.061;02.618
2023-02-23T16:56:00.765872;00.547;01.167
2023-02-23T16:56:00.765872;00.466;00.657
2023-02-23T16:56:00.765872;00.621;01.333
2023-02-23T16:56:00.765872;01.986;05.201
2023-02-23T16:56:00.765872;01.510;04.296
2023-02-23T16:56:00.765872;00.555;01.129
2023-02-23T16:56:00.765872;00.476;00.939
2023-02-23T16:56:00.765872;00.616;01.592
2023-02-23T16:56:00.765872;00.639;01.809
2023-02-23T16:56:00.765872;00.607;01.722
2023-02-23T16:56:00.765872;00.889;02.730
2023-02-23T16:56:00.765872;00.712;02.294
2023-02-23T16:56:00.765872;00.886;02.951
2023-02-23T16:56:00.765872;01.087;03.203
2023-02-23T16:56:00.765872;00.537;03.087
2023-02-23T16:56:00.765872;00.887;02.734
2023-02-23T16:56:00.765872;01.114;03.298
2023-02-23T16:56:00.765872;00.933;03.132
2023-02-23T16:56:00.765872;00.364;01.420
2023-02-23T16:56:00.765872;00.512;01.161
2023-02-23T16:56:00.765872;00.888;02.874
2023-02-23T16:56:00.765872;00.928;02.929
2023-02-23T16:56:00.765872;00.695;01.621
2023-02-23T16:56:00.765872;00.849;02.432
2023-02-23T16:56:00.765872;00.981;03.323
2023-02-23T16:56:00.765872;00.674;01.770
2023-02-23T16:56:00.765872;00.410;02.547
2023-02-23T16:56:00.765872;01.346;03.951
2023-02-23T16:56:00.765872;00.698;01.747
2023-02-23T16:56:00.765872;00.502;01.373
2023-02-23T16:56:00.765872;00.714;02.655
2023-02-23T16:56:00.765872;00.749;01.658
2023-02-23T16:56:00.765872;00.483;01.021
2023-02-23T16:56:00.765872;00.604;01.813
2023-02-23T16:56:00.765872;00.885;02.424
2023-02-23T16:56:00.765872;01.067;02.977
2023-02-23T16:56:00.765872;01.051;03.282
2023-02-23T16:56:00.765872;01.001;02.851
2023-02-23T16:56:00.765872;00.676;01.810
2023-02-23T16:56:00.765872;00.867;03.182
2023-02-23T16:56:00.765872;00.850;03.158
2023-02-23T16:56:00.765872;01.160;03.824
2023-02-23T16:56:00.765872;00.448;01.318
2023-02-23T16:56:00.765872;01.342;03.474
2023-02-23T16:56:00.765872;01.006;02.420
2023-02-23T16:56:00.765872;01.174;03.427
2023-02-23T16:56:00.765872;00.850;02.293
2023-02-23T16:56:00.765872;01.145;03.357
2023-02-23T16:56:00.765872;00.844;01.968
2023-02-23T16:56:00.765872;00.544;01.167
2023-02-23T16:56:00.765872;00.800;02.619
2023-02-23T16:56:00.765872;01.089;03.092
2023-02-23T16:56:00.765872;00.615;01.888
2023-02-23T16:56:00.765872;00.932;03.103
2023-02-23T16:56:00.765872;01.223;03.329
2023-02-23T16:56:00.765872;00.720;02.308
2023-02-23T16:56:00.765872;00.652;02.082
2023-02-23T16:56:00.765872;00.924;02.884
2023-02-23T16:56:00.765872;00.917;02.720
2023-02-23T16:56:00.765872;00.850;02.660
2023-02-23T16:56:00.765872;00.771;02.027
2023-02-23T16:56:00.765872;00.653;01.257
2023-02-23T16:56:00.765872;00.704;02.691
2023-02-23T16:56:00.765872;00.914;02.595
2023-02-23T16:56:00.765872;01.092;03.090
2023-02-23T16:56:00.765872;00.821;02.453
2023-02-23T16:56:00.765872;00.819;01.944
2023-02-23T16:56:00.765872;01.194;03.664
2023-02-23T16:56:00.765872;01.024;02.650
2023-02-23T16:56:00.765872;00.691;01.754
