timestamp;Rain intensity (mm/h);Rain amount accumulated (mm);Weather code to SYNOP waw;Weather code to SYNOP ww;Weather code METAR/SPECI;Weather code according to NWS;Radar reflectivity (dBz);MOR visibility in precipitation (m);Sample interval (s);Signal amplitude of the laser strip;Number of particles detected and validated;Temperature in the sensor housing (°C);Sensor serial number;Firmware IOP version number;Firmware DSP version number;Sensor head heating current (A);Power supply voltage (V);Sensor status;Sensor time;Sensor date;Station name;Station number;Rain amount absolute (mm);Error code;Temperature PCB (°C);Temperature right sensor head (°C);Temperature left sensor head (°C);Rain intensity max. 30.000 mm/h (mm/h);Rain intensity max. 1200.0 mm/h (mm/h);Rain amount accumulated 16bit (mm);Radar reflectivity (dBz);Kinetic energy (J/(m^2h));Snow depth intensity (mm/h);Number of all particles detected
2023-02-25T01:09:00.637479;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12879;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:06:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:10:00.612560;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12882;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:07:59;25.02.2023;GV;008;0003.69;000;018;009;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:11:00.586166;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12879;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:08:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:12:00.557721;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12878;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:09:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:13:00.531818;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12879;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:10:59;25.02.2023;GV;008;0003.69;000;018;009;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:14:00.505227;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12877;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:11:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:15:00.479830;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12888;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:12:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:16:00.453477;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12862;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:13:59;25.02.2023;GV;008;0003.69;000;018;009;009;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:17:00.426423;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12893;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:14:59;25.02.2023;GV;008;0003.69;000;018;010;010;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
2023-02-25T01:18:00.398398;0000.000;0003.69;00;00;   NP;   C;-9.999;20000;00060;12900;00000;003;450994;2.11.6;2.11.1;2.00;24.2;0;01:15:59;25.02.2023;GV;008;0003.69;000;018;011;011;00.000;0000.0;0003.69;-9.99;0000.00;0000.00;00000000
